AppID,Game Name,Release Date,Developer,Genres,Price ($),Recommendations
2597200,Across the Wonderlands,To be announced,Covenant.dev,"Action, Adventure, Indie, Early Access",Free,N/A
2597210,Welcome teacher,"Sep 28, 2023",티민이,Indie,0.99,N/A
2597220,The night of erosion (prequel),"Oct 4, 2023",MIN JIYOUNG,"Indie, Simulation",0.99,N/A
2597280,Tomb Of AnuBI0S,"Nov 9, 2023","Matthew Frank, Gerardo Ternero","Action, Casual, Indie, Strategy",9.99,N/A
2597300,Guilty Loving Boxing,"Jan 26, 2024",痛風舎 (tsufusha),"Action, Indie, Sports",19.99,N/A
2597330,Quiz Game Night,"Nov 17, 2023",ser,"Casual, Indie",Free,N/A
2597340,The Alchemist's Apprentice in the Maze of Madness,"Mar 22, 2024",ERMedia,"Adventure, Casual, Indie, Strategy",9.99,N/A
2597350,The Black Knight Chronicles - The Widow without Time,"Jun 27, 2024",ERMedia,"Indie, RPG",14.99,N/A
2597360,Citadale - The Accursed Seal,"Oct 4, 2024",ERMedia,"Action, Adventure, Indie",9.99,N/A
2597400,Slimedrop Laboratory,Coming soon,Laxias Games,"Indie, Strategy",Free,N/A
2597490,I Think I Wanna Have Your Baby,2025,Aika Games,"Casual, Indie, Simulation",Free,N/A
2597500,Forest of Soul,Coming soon,Ashwind,"Action, Adventure, Casual, Indie, RPG, Simulation",Free,N/A
2597560,SpaceDRG,"Dec 1, 2023",Empty Games,"Action, Casual, Indie, Free To Play",Free,N/A
2597590,Cuckold Chair Simulator 2023,"Oct 28, 2023",Romantic Room,"Adventure, Casual, Indie, Simulation",3.99,128
2596710,Sun Spear,"Jan 15, 2024","Aidan Barcia-Bacon, Tatum Going, Jeff Row","Action, Adventure, Indie",3.99,N/A
2596720,Project S.A.M,Coming soon,AlbiStudios,"Action, Adventure, Indie, RPG",Free,N/A
2596760,Inside,To be announced,HeadArrow,"Action, Indie",Free,N/A
2596800,No Recollection,"Jun 7, 2024",Jake Platt,"Adventure, Casual, Indie, Simulation",Free,N/A
2596830,Geist,"Oct 10, 2023",Dark Cloud City,"Action, Indie",1.99,N/A
2596840,Tempomancy,Coming soon,Wanderer Labs,"Action, Adventure, Indie",Free,N/A
2596860,Nectar,To be announced,Nerd Chomp,"Adventure, Indie",Free,N/A
2596890,Evade VR,"Oct 3, 2023",Cnodax Studio,"Action, Casual, Indie, Massively Multiplayer, Sports",5.99,N/A
2596930,Seek & Snipe,Coming soon,White Rose Games,"Action, Casual, Indie, Simulation, Strategy",Free,N/A
