AppID,Game Name,Release Date,Price ($),Action,Adventure,Casual,Early Access,Free To Play,Gore,Indie,Massively Multiplayer,Nudity,RPG,Racing,Sexual Content,Simulation,Sports,Strategy,Violent,Developer_Alister Software,Developer_Choice of Games,Developer_Daedalic Entertainment,Developer_Easy game,Developer_Other,Developer_RewindApp,Developer_Ronimo Games,Developer_U-ROOM,Years Since Release,Original_Recommendations,Log_Recommendations,Standardized_Recommendations
2193070,Returning To Mia,2023-10-27,0.2436974789915966,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,193,5.267858159063328,9.665500152861986e-05
328940,The Deer God,2015-02-27,0.2436974789915966,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5,220,5.3981627015177525,0.00012502114328158439
2738050,エスカレーター |  Escalator,2024-01-06,0.04201680672268908,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.0,116,4.762173934797756,1.5758967640535848e-05
1634150,Behind the Frame: The Finest Scenery,2021-08-25,0.21008403361344538,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.16666666666666666,4321,8.371473537066832,0.0044335228962040845
391260,Labyronia RPG,2015-08-14,0.025210084033613446,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5,1116,7.018401799069201,0.0010663568103429256
311400,OCEAN CITY RACING,2014-11-14,0.025210084033613446,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0.5555555555555556,452,6.115892125483034,0.0003687598427885388
1329600,Karting,2021-04-15,0.025210084033613446,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0.16666666666666666,478,6.171700597410915,0.00039607538669880093
1245430,Golden Light,2022-03-11,0.32773109243697474,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.1111111111111111,1822,7.508238774678663,0.0018080788872908127
314180,Deathsmiles,2016-03-10,0.32773109243697474,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4444444444444444,477,6.169610732491456,0.00039502478885609856
2482440,Leap up no Justu: Double,2023-12-21,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,447,6.104793232414985,0.00036350685357502683
1015790,Dark Hero Party,2020-04-09,0.2436974789915966,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2222222222222222,310,5.739792912179234,0.00021957494912479947
1664220,TRAIL OUT,2022-09-07,0.32773109243697474,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.1111111111111111,2135,7.666690200080086,0.0021369160120566608
818500,Colorzzle,2018-08-10,0.025210084033613446,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3333333333333333,130,4.875197323201151,3.0467337438369298e-05
1322100,Battle Bands: Rock & Roll Deckbuilder,2023-11-13,0.32773109243697474,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.05555555555555555,162,5.093750200806762,6.408646840484579e-05
431940,Wildfire,2020-05-25,0.2436974789915966,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2222222222222222,384,5.953243334287785,0.00029731918948477633
1779200,Thrive,2021-11-26,0.07563025210084033,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.16666666666666666,1031,6.939253946041508,0.0009770559937132225
1082450,Gold Hunter,2022-05-13,0.32773109243697474,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.1111111111111111,462,6.137727054086234,0.0003792658212155627
368710,Power of Love,2015-07-21,0.008403361344537815,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.5,108,4.6913478822291435,7.354184898916732e-06
1056610,Heal,2020-04-10,0.1092436974789916,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2222222222222222,515,6.246106765481563,0.0004349475068787894
294140,They Breathe,2014-05-23,0.025210084033613446,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5555555555555556,939,6.84587987526405,0.0008804009921846026
2553870,The Genesis Order,2024-04-02,0.2436974789915966,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,1266,7.144407180321139,0.001223946486748284
730620,Hammer 2,2017-10-30,0.07563025210084033,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.38888888888888884,248,5.517452896464707,0.00015443788287725129
