AppID,Game Name,Release Date,Price ($),Recommendations,Metacritic Score,Action,Adventure,Casual,Early Access,Free To Play,Gore,Indie,Massively Multiplayer,Nudity,RPG,Racing,Sexual Content,Simulation,Sports,Strategy,Violent,Developer_Alister Software,Developer_BanzaiProject,Developer_Choice of Games,Developer_Daedalic Entertainment,Developer_Easy game,Developer_Other,Developer_RewindApp,Developer_Ronimo Games,Developer_U-ROOM
1419730,Seek Girl Ⅵ,2020-09-30,0.025210084033613446,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1015730,Apostle,2019-11-07,0.32773109243697474,0,0.7,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
402750,Giant Machines 2017,2016-09-29,0.32773109243697474,0,0.7,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1818230,Lodventure,2023-12-11,0.10504201680672269,0,0.7,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1064860,约拍女神 Private Model,2019-05-03,0.07563025210084033,0,0.7,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2671970,‎My Suika – Kyo’s Fruit Merge,2023-11-29,0.008403361344537815,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1889640,The Backrooms: Survival,2023-09-15,0.09243697478991596,0,0.7,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
981020,Clea,2019-07-10,0.226890756302521,0,0.7,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
442210,Switchcars,2021-04-30,0.14285714285714285,0,0.7,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2990640,Endoparasitic 2,2024-10-01,0.19327731092436973,0,0.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
451880,Catch a Falling Star,2016-03-30,0.025210084033613446,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
270880,American Truck Simulator,2016-02-02,0.32773109243697474,0,0.675,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2086140,RICE - Repetitive Indie Combat Experience™,2023-05-01,0.05882352941176471,0,0.7,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1299480,The Fabled Woods,2021-03-25,0.15966386554621848,0,0.7,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
